a:4:{s:3:"row";i:1;s:7:"message";s:16:"Date non valide.";s:6:"status";b:0;s:7:"post_id";s:0:"";}
a:4:{s:3:"row";i:2;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85003;}
a:4:{s:3:"row";i:3;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85004;}
a:4:{s:3:"row";i:4;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85005;}
a:4:{s:3:"row";i:5;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85006;}
a:4:{s:3:"row";i:6;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85007;}
a:4:{s:3:"row";i:7;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85008;}
a:4:{s:3:"row";i:8;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85009;}
a:4:{s:3:"row";i:9;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85010;}
a:4:{s:3:"row";i:10;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85011;}
a:4:{s:3:"row";i:11;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85013;}
a:4:{s:3:"row";i:12;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85014;}
a:4:{s:3:"row";i:13;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85015;}
a:4:{s:3:"row";i:14;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85018;}
a:4:{s:3:"row";i:15;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85019;}
a:4:{s:3:"row";i:16;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85020;}
a:4:{s:3:"row";i:17;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85021;}
a:4:{s:3:"row";i:18;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85022;}
a:4:{s:3:"row";i:19;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85023;}
a:4:{s:3:"row";i:20;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85024;}
a:4:{s:3:"row";i:21;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85025;}
a:4:{s:3:"row";i:22;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85026;}
a:4:{s:3:"row";i:23;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85027;}
a:4:{s:3:"row";i:24;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85031;}
a:4:{s:3:"row";i:25;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85032;}
a:4:{s:3:"row";i:26;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85033;}
a:4:{s:3:"row";i:27;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85034;}
a:4:{s:3:"row";i:28;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85035;}
a:4:{s:3:"row";i:29;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85036;}
a:4:{s:3:"row";i:30;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85037;}
a:4:{s:3:"row";i:31;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85038;}
a:4:{s:3:"row";i:32;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85039;}
a:4:{s:3:"row";i:33;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85040;}
a:4:{s:3:"row";i:34;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85041;}
a:4:{s:3:"row";i:35;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85042;}
a:4:{s:3:"row";i:36;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85043;}
a:4:{s:3:"row";i:37;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85044;}
a:4:{s:3:"row";i:38;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85045;}
a:4:{s:3:"row";i:39;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85046;}
a:4:{s:3:"row";i:40;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85047;}
a:4:{s:3:"row";i:41;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85048;}
a:4:{s:3:"row";i:42;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85049;}
a:4:{s:3:"row";i:43;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85050;}
a:4:{s:3:"row";i:44;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85051;}
a:4:{s:3:"row";i:45;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85052;}
a:4:{s:3:"row";i:46;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85053;}
a:4:{s:3:"row";i:47;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85054;}
a:4:{s:3:"row";i:48;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85055;}
a:4:{s:3:"row";i:49;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85056;}
a:4:{s:3:"row";i:50;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85057;}
a:4:{s:3:"row";i:51;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85058;}
a:4:{s:3:"row";i:52;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85059;}
a:4:{s:3:"row";i:53;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85060;}
a:4:{s:3:"row";i:54;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85061;}
a:4:{s:3:"row";i:55;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85062;}
a:4:{s:3:"row";i:56;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85063;}
a:4:{s:3:"row";i:57;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85064;}
a:4:{s:3:"row";i:58;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85065;}
a:4:{s:3:"row";i:59;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85066;}
a:4:{s:3:"row";i:60;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85067;}
a:4:{s:3:"row";i:61;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85068;}
a:4:{s:3:"row";i:62;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85069;}
a:4:{s:3:"row";i:63;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85070;}
a:4:{s:3:"row";i:64;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85071;}
a:4:{s:3:"row";i:65;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85072;}
a:4:{s:3:"row";i:66;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85073;}
a:4:{s:3:"row";i:67;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85074;}
a:4:{s:3:"row";i:68;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85075;}
a:4:{s:3:"row";i:69;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85076;}
a:4:{s:3:"row";i:70;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85077;}
a:4:{s:3:"row";i:71;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85078;}
a:4:{s:3:"row";i:72;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85079;}
a:4:{s:3:"row";i:73;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85080;}
a:4:{s:3:"row";i:74;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85081;}
a:4:{s:3:"row";i:75;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85082;}
a:4:{s:3:"row";i:76;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85083;}
a:4:{s:3:"row";i:77;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85084;}
a:4:{s:3:"row";i:78;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85085;}
a:4:{s:3:"row";i:79;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85086;}
a:4:{s:3:"row";i:80;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85087;}
a:4:{s:3:"row";i:81;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85088;}
a:4:{s:3:"row";i:82;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85089;}
a:4:{s:3:"row";i:83;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85090;}
a:4:{s:3:"row";i:84;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85091;}
a:4:{s:3:"row";i:85;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85092;}
a:4:{s:3:"row";i:86;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85093;}
a:4:{s:3:"row";i:87;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85094;}
a:4:{s:3:"row";i:88;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85095;}
a:4:{s:3:"row";i:89;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85096;}
a:4:{s:3:"row";i:90;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85097;}
a:4:{s:3:"row";i:91;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85098;}
a:4:{s:3:"row";i:92;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85099;}
a:4:{s:3:"row";i:93;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85100;}
a:4:{s:3:"row";i:94;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85101;}
a:4:{s:3:"row";i:95;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85102;}
a:4:{s:3:"row";i:96;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85103;}
a:4:{s:3:"row";i:97;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85106;}
a:4:{s:3:"row";i:98;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85107;}
a:4:{s:3:"row";i:99;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85108;}
a:4:{s:3:"row";i:100;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85109;}
a:4:{s:3:"row";i:101;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85110;}
a:4:{s:3:"row";i:102;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85111;}
a:4:{s:3:"row";i:103;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85112;}
a:4:{s:3:"row";i:104;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85113;}
a:4:{s:3:"row";i:105;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85114;}
a:4:{s:3:"row";i:106;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85115;}
a:4:{s:3:"row";i:107;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85116;}
a:4:{s:3:"row";i:108;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85117;}
a:4:{s:3:"row";i:109;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85118;}
a:4:{s:3:"row";i:110;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85119;}
a:4:{s:3:"row";i:111;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85120;}
a:4:{s:3:"row";i:112;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85121;}
a:4:{s:3:"row";i:113;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85122;}
a:4:{s:3:"row";i:114;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85123;}
a:4:{s:3:"row";i:115;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85124;}
a:4:{s:3:"row";i:116;s:7:"message";s:28:"Order imported successfully.";s:6:"status";b:1;s:7:"post_id";i:85125;}
